Time	Type	Amount	Symbol
10/8/2025 10:27	Realized PNL	1.34984482 USDT	ETHUSDT
10/8/2025 10:27	Commission	-0.00682095 USDT	ETHUSDT
10/8/2025 10:27	Realized PNL	3.86955517 USDT	ETHUSDT
10/8/2025 10:27	Commission	-0.01955339 USDT	ETHUSDT
10/8/2025 10:18	Commission	-0.24761840 USDT	BTCUSDT
10/8/2025 10:18	Commission	-0.24761840 USDT	BTCUSDT
10/8/2025 10:17	Realized PNL	6.12389999 USDT	SOLUSDT
10/8/2025 10:17	Commission	-0.03099762 USDT	SOLUSDT
10/8/2025 9:00	Funding fee	-0.00226340 USDT	XRPUSDT
10/8/2025 9:00	Funding fee	-0.06061155 USDT	SOLUSDT
10/8/2025 9:00	Funding fee	-0.05158828 USDT	ETHUSDT
10/8/2025 9:00	Funding fee	-0.03664754 USDT	BTCUSDT
10/8/2025 3:56	Commission	-0.13508400 USDT	ETHUSDT
10/8/2025 3:55	Commission	-0.03421064 USDT	ETHUSDT
10/8/2025 3:55	Commission	-0.03961232 USDT	ETHUSDT
10/8/2025 3:42	Commission	-0.14767188 USDT	BTCUSDT
10/8/2025 3:42	Realized PNL	25.57899999 USDT	BTCUSDT
10/8/2025 3:42	Commission	-0.12917656 USDT	BTCUSDT
10/8/2025 1:41	Realized PNL	1.54969999 USDT	ETHUSDT
10/8/2025 1:41	Commission	-0.00785890 USDT	ETHUSDT
10/8/2025 1:00	Funding fee	-0.00225695 USDT	XRPUSDT
10/8/2025 1:00	Funding fee	-0.06053871 USDT	SOLUSDT
10/8/2025 1:00	Funding fee	-0.01562173 USDT	ETHUSDT
10/8/2025 1:00	Funding fee	-0.25529719 USDT	BTCUSDT
10/7/2025 20:34	Commission	-0.02131152 USDT	ETHUSDT
10/7/2025 20:34	Commission	-0.02131536 USDT	ETHUSDT
10/7/2025 20:21	Realized PNL	1.56200000 USDT	BNBUSDT
10/7/2025 20:21	Commission	-0.00768120 USDT	BNBUSDT
10/7/2025 19:08	Commission	-0.02583600 USDT	BNBUSDT
10/7/2025 19:08	Commission	-0.02583800 USDT	BNBUSDT
10/7/2025 19:05	Commission	-0.00520080 USDT	BNBUSDT
10/7/2025 19:05	Commission	-0.00519960 USDT	BNBUSDT
10/7/2025 19:05	Realized PNL	0.13300000 USDT	BNBUSDT
10/7/2025 19:05	Commission	-0.00065050 USDT	BNBUSDT
10/7/2025 18:54	Realized PNL	1.15840000 USDT	ENAUSDT
10/7/2025 18:54	Commission	-0.00593892 USDT	ENAUSDT
10/7/2025 18:19	Realized PNL	0.19608000 USDT	SUIUSDT
10/7/2025 18:19	Commission	-0.00099262 USDT	SUIUSDT
10/7/2025 18:18	Commission	-0.92604936 USDT	BTCUSDT
10/7/2025 17:52	Realized PNL	0.19350000 USDT	HYPEUSDT
10/7/2025 17:52	Commission	-0.00097859 USDT	HYPEUSDT
10/7/2025 17:04	Realized PNL	0.10880000 USDT	FARTCOINUSDT
10/7/2025 17:04	Commission	-0.00055233 USDT	FARTCOINUSDT
10/7/2025 17:02	Commission	-0.04763232 USDT	SOLUSDT
10/7/2025 17:00	Funding fee	-0.00258756 USDT	HYPEUSDT
10/7/2025 17:00	Funding fee	-0.01176336 USDT	ENAUSDT
10/7/2025 17:00	Funding fee	-0.00054801 USDT	FARTCOINUSDT
10/7/2025 17:00	Funding fee	-0.00698622 USDT	SUIUSDT
10/7/2025 17:00	Funding fee	0.00060331 USDT	BNBUSDT
10/7/2025 17:00	Funding fee	-0.00225322 USDT	XRPUSDT
10/7/2025 17:00	Funding fee	-0.24846883 USDT	SOLUSDT
